Time,C7,T10,CLAV,LFIN,LPSI,RBHD,RFIN,LFHD,RFHD,STRN,LBHD,LSHO,RSHO,LELB,RELB,LWRB,RWRB,LWRA,RWRA,LASI,RASI,LKNE,RKNE,LANK,RANK,LHEE,RHEE,LTOE,RTOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1484.500915,1290.51879,1293.400228,1290.067732,1255.940348,1261.753589,1257.200092,351.164937,155.3556137,1133.44565,1074.324697,76.38629526,-619.0216169,-678.1157851,-1165.310889,-60.49081683,-648.5953927,27.17466559,-477.6209965,299.9636531,-305.5526316,40.46526272,52.8121274,-163.8827287,-193.3167689,-67.19592959,-196.9828643,1112.494096,1072.254702,199.9636531,-6142.49289,-6561.406851,-6562.452316,-6571.103334,-6493.332982,-6504.813433,-6516.481042,-6636.768579,-6400.146484,-5966.191888,-5894.520283,-4907.546043,-4760.56695,-2492.337078,-2364.130765,-333.4301338,44.4628112,-129.9752574,236.4312112,-59.38632879,53.38468123,3837.861717,3863.414228,7101.185918,7525.449395,7519.118786,7978.180051,7763.25047,8071.928024,-59.38632879,-1467.211246,-1373.26479,-1366.751045,-1365.398169,-1679.306328,-1686.829627,-1682.024598,-655.8898091,-2155.107707,-1177.630424,-1586.50741,588.7458101,-2761.417329,936.7111325,-3169.317245,321.0968897,-3171.301782,182.2222956,-3137.296438,1110.447571,-1095.648035,2262.127399,-506.1097443,3573.355973,5.249582464,3604.187369,-29.06108275,3262.747228,-948.5809505,1110.447571
0.5,1484.075785,1289.18767,1292.073727,1288.737059,1255.73203,1261.55287,1256.996244,345.461145,154.1047171,1131.599844,1073.623821,68.8095903,-623.8730997,-695.3728199,-1174.246222,-76.49428211,-651.8240273,11.45786257,-479.9097776,299.7692116,-305.3340875,30.24536185,49.18571096,-162.6675203,-188.1239749,-64.76412527,-191.0413243,1114.279553,1076.150015,199.7692116,-6147.92347,-6566.957831,-6567.992568,-6576.643586,-6498.632431,-6510.102749,-6521.760225,-6640.808582,-6402.208805,-5971.033573,-5898.87321,-4908.14805,-4760.105908,-2494.055182,-2362.90589,-335.1909295,45.64271774,-131.6899993,237.270277,-59.84807853,53.86157427,3843.483329,3863.865733,7104.191184,7525.470257,7521.837354,7978.24204,7767.041326,8076.739311,-59.84807853,-1463.31951,-1369.116455,-1362.592876,-1361.277252,-1675.900668,-1683.38865,-1678.646803,-653.5985321,-2154.544443,-1174.478084,-1584.079862,588.9626965,-2761.533558,935.2494031,-3168.165684,316.6998178,-3158.735633,178.0898869,-3124.294877,1111.586615,-1096.780449,2266.434878,-500.5631223,3581.486642,33.28115446,3612.808585,1.654972148,3271.036744,-912.9011631,1111.586615
1,1475.558132,1284.003258,1286.875606,1283.535063,1248.985305,1254.800856,1250.254512,344.3322331,148.4025735,1125.110835,1064.524502,67.67183077,-631.3800812,-696.1687654,-1179.076955,-78.74012925,-653.6603719,8.793228189,-481.3438654,299.2411889,-304.784067,14.66465532,45.5557555,-164.8374461,-188.0708151,-66.02576934,-191.0483651,1113.709211,1075.553298,199.2411889,-6145.462394,-6564.407945,-6565.451026,-6574.095488,-6496.583819,-6508.060098,-6519.718766,-6640.183926,-6402.159333,-5969.731212,-5898.00477,-4907.532036,-4760.606289,-2493.831068,-2364.132404,-334.4118968,45.40849477,-130.947968,236.990191,-59.89024416,53.90826147,3845.752776,3863.195181,7106.682658,7524.914742,7524.769306,7977.796197,7772.685885,8079.073429,-59.89024416,-1462.178677,-1367.504448,-1360.978037,-1359.656453,-1673.747897,-1681.222469,-1676.537544,-649.7983634,-2147.57055,-1172.61745,-1581.607461,593.0973217,-2758.012116,938.770622,-3162.811697,316.4572641,-3153.46688,177.8644696,-3118.603826,1112.8667,-1098.045409,2269.251347,-509.3985051,3585.243523,-9.472717647,3616.690934,-45.19026726,3274.915814,-955.4719925,1112.8667
1.5,1463.343501,1276.386529,1279.251873,1275.892407,1238.363907,1244.164631,1239.665747,347.2477198,139.5926066,1116.664261,1052.06266,68.55398417,-639.5575404,-695.5908984,-1183.598265,-79.13363166,-654.9262255,8.355923346,-481.7535356,298.7712808,-304.2894788,-2.115454263,41.16499331,-167.8299159,-190.9626275,-67.74834823,-194.9889213,1113.846302,1069.727913,198.7712808,-6144.934297,-6563.749909,-6564.802527,-6573.445797,-6496.219039,-6507.698298,-6519.361734,-6640.180349,-6402.868032,-5969.628692,-5898.084044,-4907.607138,-4763.589203,-2495.104074,-2368.762046,-335.2452442,45.23086362,-131.8177581,237.1051908,-59.86512639,53.88481542,3847.505152,3863.107562,7109.668851,7524.843216,7528.460026,7977.803349,7778.786421,8084.055781,-59.86512639,-1459.433883,-1364.282966,-1357.779354,-1356.435567,-1670.108438,-1677.572876,-1672.912687,-644.9134648,-2138.768435,-1169.202626,-1577.60039,598.6530706,-2752.056122,944.4642812,-3151.427507,315.2981773,-3138.880134,176.6987517,-3103.75154,1113.793105,-1098.963097,2270.921767,-516.4350569,3587.497771,-35.13399744,3618.987799,-72.53077347,3275.919557,-980.1876545,1113.793105
2,1492.676884,1313.320249,1316.081882,1312.712431,1275.206357,1281.013638,1276.590675,392.9508477,180.9169538,1145.21578,1079.895794,89.17709813,-622.635372,-694.4777071,-1180.800349,-94.4885239,-654.695183,-7.786885835,-481.3930392,298.9661507,-304.4038452,26.41626168,43.32949873,-139.4663379,-174.3171364,-38.83386729,-177.6609942,1137.603521,1085.261703,198.9661507,-6139.375567,-6558.751464,-6559.830308,-6568.418145,-6491.123438,-6502.608657,-6514.280438,-6641.199589,-6402.688026,-5967.119932,-5895.494223,-4910.950065,-4766.27022,-2501.32829,-2369.850129,-340.1928768,48.18899091,-137.2265723,239.8722433,-59.59253758,53.62223834,3848.791718,3860.711753,7114.785314,7524.148822,7534.274459,7977.362275,7793.281078,8088.756204,-59.59253758,-1442.927718,-1346.076876,-1339.59949,-1338.233203,-1650.559753,-1657.934636,-1653.364152,-626.8715858,-2115.979046,-1152.630821,-1559.592634,612.5984713,-2738.697231,947.9828924,-3125.208616,313.4857491,-3098.070621,174.9812253,-3061.146438,1115.672216,-1100.826114,2252.820283,-537.2219533,3540.248871,-84.09516886,3567.44349,-124.4217996,3224.064708,-1022.666618,1115.672216
2.5,1500.435174,1322.570741,1325.324625,1321.941614,1285.615265,1291.422695,1287.03922,400.1127928,191.8896474,1151.085794,1086.734235,93.8742701,-622.7416545,-702.9280812,-1182.587594,-132.925408,-654.6411663,-49.43340085,-481.140092,302.7445264,-308.1085719,43.09728742,42.35127475,-124.6009674,-163.7258567,-22.34004671,-164.4587889,1152.827442,1096.594557,202.7445264,-6136.472821,-6556.692123,-6557.796597,-6566.362977,-6489.056945,-6500.535011,-6512.215734,-6642.756462,-6403.572559,-5966.116786,-5894.563794,-4915.376604,-4768.987596,-2510.573864,-2372.318357,-343.7887505,47.20075056,-140.1511859,238.6055887,-59.40489471,53.45973652,3849.651217,3854.981661,7112.751603,7511.973381,7531.778812,7964.357138,7791.32545,8078.534007,-59.40489471,-1439.997405,-1343.023479,-1336.548179,-1335.193813,-1647.415608,-1654.762775,-1650.193334,-623.9729747,-2113.331258,-1149.768159,-1556.675732,612.9417941,-2735.793293,944.8868781,-3118.526042,300.4136495,-3086.464107,162.4510624,-3050.034642,1117.267609,-1102.415174,2258.074731,-535.3555828,3558.990061,-74.76219442,3588.389158,-114.3163536,3244.814277,-1012.687534,1117.267609
3,1495.99418,1317.650825,1320.43615,1317.036003,1278.934479,1284.733713,1280.338466,398.362875,183.6709306,1148.524731,1082.410961,95.26945651,-628.028512,-708.2048059,-1185.307652,-141.0027035,-655.9779495,-58.40111058,-482.3946208,306.5544553,-311.8402883,54.67871204,41.79470241,-113.0190119,-151.1836611,-9.356857627,-148.8587912,1166.26285,1112.364456,206.5544553,-6136.671305,-6556.944251,-6558.058262,-6566.622853,-6489.310861,-6500.779986,-6512.466669,-6643.694043,-6404.369473,-5966.546535,-5895.019174,-4916.376472,-4770.260751,-2514.114082,-2373.81041,-341.2579373,48.02145995,-136.1157,240.4014021,-59.06827748,53.14725451,3850.662112,3851.01378,7108.350396,7499.600649,7526.624203,7950.996757,7787.448764,8071.494102,-59.06827748,-1448.592991,-1350.914687,-1344.394684,-1343.099475,-1654.478759,-1661.827117,-1657.278389,-626.9373745,-2114.809453,-1156.349629,-1562.45172,612.3336777,-2737.288475,943.9867735,-3123.607337,295.9528938,-3098.984957,157.5266011,-3063.008487,1118.660271,-1103.78325,2264.583558,-532.0621282,3579.510748,-57.38927983,3610.991538,-95.78736499,3264.799118,-1000.101417,1118.660271
3.5,1493.469775,1314.150244,1316.939592,1313.526779,1278.075278,1283.884943,1279.512048,389.7216916,183.0540597,1143.704206,1079.39817,87.9846327,-634.958297,-721.0992277,-1197.350323,-169.9609682,-676.2384623,-88.22749369,-501.8069968,306.5948375,-311.8530102,48.02181385,37.15487197,-113.8359681,-151.3819117,-9.616368334,-149.0966417,1166.616827,1110.970154,206.5948375,-6129.78816,-6550.827026,-6551.933885,-6560.465097,-6483.318806,-6494.780779,-6506.453753,-6641.933918,-6402.775645,-5961.819887,-5890.405178,-4915.43442,-4770.843089,-2514.329553,-2375.151068,-335.6408328,50.0138849,-129.5513101,243.0203371,-58.17780271,52.3106521,3851.015866,3841.628432,7108.000517,7484.681606,7526.224852,7935.298681,7786.625624,8060.083985,-58.17780271,-1416.790783,-1317.779571,-1311.181188,-1310.018003,-1624.671221,-1631.96981,-1627.480835,-603.1919271,-2102.354765,-1128.433123,-1538.244337,627.361536,-2731.963396,946.9731152,-3116.521537,294.2660451,-3091.552854,155.8125298,-3055.090308,1121.524721,-1106.624678,2269.524038,-531.8272114,3591.681421,-55.25053944,3623.719513,-93.56907569,3274.627924,-999.5311499,1121.524721
4,1495.209783,1316.4711,1319.229752,1315.827668,1283.509731,1289.340705,1284.969896,388.6296228,191.2663691,1143.338755,1080.686301,74.60420951,-634.5949322,-736.6511971,-1207.386553,-197.6722665,-705.1050663,-116.0854753,-531.0854316,304.6094254,-309.8477796,28.09722209,31.63093701,-122.4173699,-155.6031872,-18.01702078,-154.5755845,1157.633588,1105.315015,204.6094254,-6112.200022,-6534.62708,-6535.690427,-6544.14475,-6467.813849,-6479.250193,-6490.885615,-6635.765433,-6398.387551,-5948.821306,-5878.20828,-4913.506806,-4772.138596,-2513.458729,-2378.799915,-329.5648471,52.8308237,-123.4148163,246.2641895,-57.06767086,51.25710275,3851.086497,3833.157718,7107.906342,7471.931577,7526.088357,7922.075391,7784.907818,8045.349121,-57.06767086,-1379.964203,-1279.417127,-1272.756755,-1271.745265,-1588.917673,-1596.190333,-1591.757387,-574.1130561,-2083.780915,-1095.666811,-1508.647054,645.2061981,-2722.077966,952.5924921,-3105.790019,295.2380478,-3081.16287,156.9653116,-3043.828607,1123.287156,-1108.37914,2269.507051,-533.0288038,3593.582213,-59.28741302,3625.587225,-97.88127616,3275.825977,-1003.719494,1123.287156
4.5,1501.44279,1323.733032,1326.441318,1323.065907,1294.956207,1300.820112,1296.454668,388.5212541,203.7684619,1144.716665,1085.478738,68.44246294,-635.6596202,-759.5411688,-1226.021647,-225.5863324,-720.9142298,-144.2466862,-546.4140698,304.7374822,-309.9802509,26.53830452,21.2300336,-127.2774115,-158.8938572,-23.11589196,-157.0688002,1152.918711,1105.081588,204.7374822,-6106.168032,-6529.9505,-6531.033516,-6539.458036,-6463.040709,-6474.471092,-6486.099362,-6635.676026,-6398.058534,-5945.437551,-5874.646306,-4915.328026,-4773.234427,-2518.523932,-2379.258871,-331.72369,52.96580959,-125.2835989,246.1971529,-56.58757407,50.80704577,3850.986063,3831.278384,7099.625468,7467.893362,7516.075373,7917.804718,7768.877745,8040.782809,-56.58757407,-1363.238394,-1262.223125,-1255.584955,-1254.575551,-1573.183537,-1580.432951,-1576.009691,-560.8505383,-2076.238096,-1080.910936,-1495.648623,650.3491849,-2715.877891,952.9814124,-3095.487952,294.5479378,-3060.604036,156.827569,-3022.990227,1124.373227,-1109.455451,2275.816649,-528.8824812,3605.716527,-43.34146623,3638.97413,-80.37572727,3296.363354,-983.1736237,1124.373227
